---------------------------------
| rollout/           |          |
|    ep_len_mean     | 157      |
|    ep_rew_mean     | 222      |
|    success_rate    | 0.13     |
| time/              |          |
|    fps             | 1447     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 26024    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 159          |
|    ep_rew_mean          | 223          |
|    success_rate         | 0.15         |
| time/                   |              |
|    fps                  | 1227         |
|    iterations           | 2            |
|    time_elapsed         | 1            |
|    total_timesteps      | 27048        |
| train/                  |              |
|    approx_kl            | 0.0069898022 |
|    clip_fraction        | 0.0513       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.683        |
|    learning_rate        | 1e-05        |
|    loss                 | 70.5         |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.0183      |
|    std                  | 1.17         |
|    value_loss           | 161          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 160          |
|    ep_rew_mean          | 224          |
|    success_rate         | 0.15         |
| time/                   |              |
|    fps                  | 1119         |
|    iterations           | 3            |
|    time_elapsed         | 2            |
|    total_timesteps      | 28072        |
| train/                  |              |
|    approx_kl            | 0.0041996273 |
|    clip_fraction        | 0.0176       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.594        |
|    learning_rate        | 1e-05        |
|    loss                 | 181          |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00921     |
|    std                  | 1.17         |
|    value_loss           | 396          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | 231         |
|    success_rate         | 0.15        |
| time/                   |             |
|    fps                  | 1124        |
|    iterations           | 4           |
|    time_elapsed         | 3           |
|    total_timesteps      | 29096       |
| train/                  |             |
|    approx_kl            | 0.005078894 |
|    clip_fraction        | 0.0317      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.528       |
|    learning_rate        | 1e-05       |
|    loss                 | 93.6        |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0131     |
|    std                  | 1.17        |
|    value_loss           | 247         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 170         |
|    ep_rew_mean          | 235         |
|    success_rate         | 0.15        |
| time/                   |             |
|    fps                  | 1121        |
|    iterations           | 5           |
|    time_elapsed         | 4           |
|    total_timesteps      | 30120       |
| train/                  |             |
|    approx_kl            | 0.005230489 |
|    clip_fraction        | 0.0335      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.712       |
|    learning_rate        | 1e-05       |
|    loss                 | 106         |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0141     |
|    std                  | 1.17        |
|    value_loss           | 237         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 173         |
|    ep_rew_mean          | 239         |
|    success_rate         | 0.17        |
| time/                   |             |
|    fps                  | 1127        |
|    iterations           | 6           |
|    time_elapsed         | 5           |
|    total_timesteps      | 31144       |
| train/                  |             |
|    approx_kl            | 0.006418503 |
|    clip_fraction        | 0.0536      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.268       |
|    learning_rate        | 1e-05       |
|    loss                 | 151         |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0134     |
|    std                  | 1.17        |
|    value_loss           | 299         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 173          |
|    ep_rew_mean          | 240          |
|    success_rate         | 0.18         |
| time/                   |              |
|    fps                  | 1130         |
|    iterations           | 7            |
|    time_elapsed         | 6            |
|    total_timesteps      | 32168        |
| train/                  |              |
|    approx_kl            | 0.0048076008 |
|    clip_fraction        | 0.0163       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.43         |
|    learning_rate        | 1e-05        |
|    loss                 | 133          |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.0126      |
|    std                  | 1.17         |
|    value_loss           | 270          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 237         |
|    success_rate         | 0.17        |
| time/                   |             |
|    fps                  | 1133        |
|    iterations           | 8           |
|    time_elapsed         | 7           |
|    total_timesteps      | 33192       |
| train/                  |             |
|    approx_kl            | 0.008645892 |
|    clip_fraction        | 0.0565      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.486       |
|    learning_rate        | 1e-05       |
|    loss                 | 117         |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0179     |
|    std                  | 1.17        |
|    value_loss           | 240         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | 245         |
|    success_rate         | 0.18        |
| time/                   |             |
|    fps                  | 1136        |
|    iterations           | 9           |
|    time_elapsed         | 8           |
|    total_timesteps      | 34216       |
| train/                  |             |
|    approx_kl            | 0.006131149 |
|    clip_fraction        | 0.0352      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.274       |
|    learning_rate        | 1e-05       |
|    loss                 | 146         |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 1.17        |
|    value_loss           | 256         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 179         |
|    ep_rew_mean          | 247         |
|    success_rate         | 0.19        |
| time/                   |             |
|    fps                  | 1136        |
|    iterations           | 10          |
|    time_elapsed         | 9           |
|    total_timesteps      | 35240       |
| train/                  |             |
|    approx_kl            | 0.004587095 |
|    clip_fraction        | 0.0271      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.307       |
|    learning_rate        | 1e-05       |
|    loss                 | 125         |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0146     |
|    std                  | 1.17        |
|    value_loss           | 251         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 185          |
|    ep_rew_mean          | 254          |
|    success_rate         | 0.22         |
| time/                   |              |
|    fps                  | 1137         |
|    iterations           | 11           |
|    time_elapsed         | 9            |
|    total_timesteps      | 36264        |
| train/                  |              |
|    approx_kl            | 0.0058146627 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.387        |
|    learning_rate        | 1e-05        |
|    loss                 | 127          |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.0159      |
|    std                  | 1.17         |
|    value_loss           | 253          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 183         |
|    ep_rew_mean          | 248         |
|    success_rate         | 0.22        |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 12          |
|    time_elapsed         | 10          |
|    total_timesteps      | 37288       |
| train/                  |             |
|    approx_kl            | 0.004881189 |
|    clip_fraction        | 0.0418      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.361       |
|    learning_rate        | 1e-05       |
|    loss                 | 125         |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.014      |
|    std                  | 1.17        |
|    value_loss           | 283         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | 239         |
|    success_rate         | 0.19        |
| time/                   |             |
|    fps                  | 1134        |
|    iterations           | 13          |
|    time_elapsed         | 11          |
|    total_timesteps      | 38312       |
| train/                  |             |
|    approx_kl            | 0.005903019 |
|    clip_fraction        | 0.0448      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.161       |
|    learning_rate        | 1e-05       |
|    loss                 | 106         |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0181     |
|    std                  | 1.17        |
|    value_loss           | 220         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | 238         |
|    success_rate         | 0.19        |
| time/                   |             |
|    fps                  | 1135        |
|    iterations           | 14          |
|    time_elapsed         | 12          |
|    total_timesteps      | 39336       |
| train/                  |             |
|    approx_kl            | 0.008533543 |
|    clip_fraction        | 0.0596      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.334       |
|    learning_rate        | 1e-05       |
|    loss                 | 128         |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0223     |
|    std                  | 1.17        |
|    value_loss           | 249         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 177          |
|    ep_rew_mean          | 236          |
|    success_rate         | 0.19         |
| time/                   |              |
|    fps                  | 1135         |
|    iterations           | 15           |
|    time_elapsed         | 13           |
|    total_timesteps      | 40360        |
| train/                  |              |
|    approx_kl            | 0.0055953087 |
|    clip_fraction        | 0.0204       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.346        |
|    learning_rate        | 1e-05        |
|    loss                 | 83.7         |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.014       |
|    std                  | 1.17         |
|    value_loss           | 209          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 176         |
|    ep_rew_mean          | 232         |
|    success_rate         | 0.19        |
| time/                   |             |
|    fps                  | 1135        |
|    iterations           | 16          |
|    time_elapsed         | 14          |
|    total_timesteps      | 41384       |
| train/                  |             |
|    approx_kl            | 0.008273199 |
|    clip_fraction        | 0.0824      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.283       |
|    learning_rate        | 1e-05       |
|    loss                 | 109         |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 1.17        |
|    value_loss           | 233         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 176          |
|    ep_rew_mean          | 230          |
|    success_rate         | 0.18         |
| time/                   |              |
|    fps                  | 1136         |
|    iterations           | 17           |
|    time_elapsed         | 15           |
|    total_timesteps      | 42408        |
| train/                  |              |
|    approx_kl            | 0.0061039263 |
|    clip_fraction        | 0.0356       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.282        |
|    learning_rate        | 1e-05        |
|    loss                 | 102          |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.0161      |
|    std                  | 1.17         |
|    value_loss           | 268          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 174          |
|    ep_rew_mean          | 229          |
|    success_rate         | 0.18         |
| time/                   |              |
|    fps                  | 1136         |
|    iterations           | 18           |
|    time_elapsed         | 16           |
|    total_timesteps      | 43432        |
| train/                  |              |
|    approx_kl            | 0.0050941342 |
|    clip_fraction        | 0.0303       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.279        |
|    learning_rate        | 1e-05        |
|    loss                 | 117          |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.0134      |
|    std                  | 1.17         |
|    value_loss           | 231          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 181          |
|    ep_rew_mean          | 239          |
|    success_rate         | 0.2          |
| time/                   |              |
|    fps                  | 1137         |
|    iterations           | 19           |
|    time_elapsed         | 17           |
|    total_timesteps      | 44456        |
| train/                  |              |
|    approx_kl            | 0.0073595215 |
|    clip_fraction        | 0.0611       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.31         |
|    learning_rate        | 1e-05        |
|    loss                 | 163          |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.0187      |
|    std                  | 1.17         |
|    value_loss           | 297          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 183         |
|    ep_rew_mean          | 241         |
|    success_rate         | 0.2         |
| time/                   |             |
|    fps                  | 1138        |
|    iterations           | 20          |
|    time_elapsed         | 17          |
|    total_timesteps      | 45480       |
| train/                  |             |
|    approx_kl            | 0.003362595 |
|    clip_fraction        | 0.00918     |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.104       |
|    learning_rate        | 1e-05       |
|    loss                 | 104         |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0091     |
|    std                  | 1.17        |
|    value_loss           | 224         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 184         |
|    ep_rew_mean          | 244         |
|    success_rate         | 0.21        |
| time/                   |             |
|    fps                  | 1138        |
|    iterations           | 21          |
|    time_elapsed         | 18          |
|    total_timesteps      | 46504       |
| train/                  |             |
|    approx_kl            | 0.005098759 |
|    clip_fraction        | 0.0227      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.308       |
|    learning_rate        | 1e-05       |
|    loss                 | 115         |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0142     |
|    std                  | 1.17        |
|    value_loss           | 239         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 183          |
|    ep_rew_mean          | 242          |
|    success_rate         | 0.22         |
| time/                   |              |
|    fps                  | 1138         |
|    iterations           | 22           |
|    time_elapsed         | 19           |
|    total_timesteps      | 47528        |
| train/                  |              |
|    approx_kl            | 0.0051577073 |
|    clip_fraction        | 0.0183       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.101        |
|    learning_rate        | 1e-05        |
|    loss                 | 139          |
|    n_updates            | 450          |
|    policy_gradient_loss | -0.0119      |
|    std                  | 1.17         |
|    value_loss           | 274          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 179          |
|    ep_rew_mean          | 238          |
|    success_rate         | 0.22         |
| time/                   |              |
|    fps                  | 1138         |
|    iterations           | 23           |
|    time_elapsed         | 20           |
|    total_timesteps      | 48552        |
| train/                  |              |
|    approx_kl            | 0.0062724715 |
|    clip_fraction        | 0.0488       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.263        |
|    learning_rate        | 1e-05        |
|    loss                 | 105          |
|    n_updates            | 460          |
|    policy_gradient_loss | -0.0166      |
|    std                  | 1.17         |
|    value_loss           | 210          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 180          |
|    ep_rew_mean          | 239          |
|    success_rate         | 0.23         |
| time/                   |              |
|    fps                  | 1139         |
|    iterations           | 24           |
|    time_elapsed         | 21           |
|    total_timesteps      | 49576        |
| train/                  |              |
|    approx_kl            | 0.0053071002 |
|    clip_fraction        | 0.0282       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.143        |
|    learning_rate        | 1e-05        |
|    loss                 | 139          |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.0145      |
|    std                  | 1.17         |
|    value_loss           | 286          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 183          |
|    ep_rew_mean          | 243          |
|    success_rate         | 0.24         |
| time/                   |              |
|    fps                  | 1137         |
|    iterations           | 25           |
|    time_elapsed         | 22           |
|    total_timesteps      | 50600        |
| train/                  |              |
|    approx_kl            | 0.0055993777 |
|    clip_fraction        | 0.0218       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.0407       |
|    learning_rate        | 1e-05        |
|    loss                 | 115          |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.0122      |
|    std                  | 1.17         |
|    value_loss           | 253          |
------------------------------------------
