---------------------------------
| rollout/           |          |
|    ep_len_mean     | 185      |
|    ep_rew_mean     | 242      |
|    success_rate    | 0.24     |
| time/              |          |
|    fps             | 1430     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 51624    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 180         |
|    ep_rew_mean          | 233         |
|    success_rate         | 0.23        |
| time/                   |             |
|    fps                  | 1243        |
|    iterations           | 2           |
|    time_elapsed         | 1           |
|    total_timesteps      | 52648       |
| train/                  |             |
|    approx_kl            | 0.009006903 |
|    clip_fraction        | 0.0922      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.042       |
|    learning_rate        | 1e-05       |
|    loss                 | 71.3        |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.0264     |
|    std                  | 1.17        |
|    value_loss           | 179         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | 228         |
|    success_rate         | 0.21        |
| time/                   |             |
|    fps                  | 1209        |
|    iterations           | 3           |
|    time_elapsed         | 2           |
|    total_timesteps      | 53672       |
| train/                  |             |
|    approx_kl            | 0.006801331 |
|    clip_fraction        | 0.0348      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.202       |
|    learning_rate        | 1e-05       |
|    loss                 | 86.6        |
|    n_updates            | 510         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 1.17        |
|    value_loss           | 165         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | 226         |
|    success_rate         | 0.2         |
| time/                   |             |
|    fps                  | 1196        |
|    iterations           | 4           |
|    time_elapsed         | 3           |
|    total_timesteps      | 54696       |
| train/                  |             |
|    approx_kl            | 0.005512904 |
|    clip_fraction        | 0.0317      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.128       |
|    learning_rate        | 1e-05       |
|    loss                 | 79.2        |
|    n_updates            | 520         |
|    policy_gradient_loss | -0.0175     |
|    std                  | 1.17        |
|    value_loss           | 206         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 178          |
|    ep_rew_mean          | 225          |
|    success_rate         | 0.2          |
| time/                   |              |
|    fps                  | 1187         |
|    iterations           | 5            |
|    time_elapsed         | 4            |
|    total_timesteps      | 55720        |
| train/                  |              |
|    approx_kl            | 0.0065683667 |
|    clip_fraction        | 0.0342       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.214        |
|    learning_rate        | 1e-05        |
|    loss                 | 91.8         |
|    n_updates            | 530          |
|    policy_gradient_loss | -0.0162      |
|    std                  | 1.17         |
|    value_loss           | 191          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 181         |
|    ep_rew_mean          | 225         |
|    success_rate         | 0.22        |
| time/                   |             |
|    fps                  | 1180        |
|    iterations           | 6           |
|    time_elapsed         | 5           |
|    total_timesteps      | 56744       |
| train/                  |             |
|    approx_kl            | 0.007017554 |
|    clip_fraction        | 0.0396      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | -0.0177     |
|    learning_rate        | 1e-05       |
|    loss                 | 99.1        |
|    n_updates            | 540         |
|    policy_gradient_loss | -0.014      |
|    std                  | 1.17        |
|    value_loss           | 183         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 175         |
|    ep_rew_mean          | 216         |
|    success_rate         | 0.23        |
| time/                   |             |
|    fps                  | 1173        |
|    iterations           | 7           |
|    time_elapsed         | 6           |
|    total_timesteps      | 57768       |
| train/                  |             |
|    approx_kl            | 0.005621106 |
|    clip_fraction        | 0.0525      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.335       |
|    learning_rate        | 1e-05       |
|    loss                 | 111         |
|    n_updates            | 550         |
|    policy_gradient_loss | -0.0182     |
|    std                  | 1.17        |
|    value_loss           | 206         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 172          |
|    ep_rew_mean          | 211          |
|    success_rate         | 0.21         |
| time/                   |              |
|    fps                  | 1169         |
|    iterations           | 8            |
|    time_elapsed         | 7            |
|    total_timesteps      | 58792        |
| train/                  |              |
|    approx_kl            | 0.0062366314 |
|    clip_fraction        | 0.0408       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.283        |
|    learning_rate        | 1e-05        |
|    loss                 | 96           |
|    n_updates            | 560          |
|    policy_gradient_loss | -0.0156      |
|    std                  | 1.17         |
|    value_loss           | 186          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 170         |
|    ep_rew_mean          | 206         |
|    success_rate         | 0.21        |
| time/                   |             |
|    fps                  | 1166        |
|    iterations           | 9           |
|    time_elapsed         | 7           |
|    total_timesteps      | 59816       |
| train/                  |             |
|    approx_kl            | 0.004696387 |
|    clip_fraction        | 0.0227      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.174       |
|    learning_rate        | 1e-05       |
|    loss                 | 144         |
|    n_updates            | 570         |
|    policy_gradient_loss | -0.0132     |
|    std                  | 1.17        |
|    value_loss           | 311         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 175          |
|    ep_rew_mean          | 211          |
|    success_rate         | 0.21         |
| time/                   |              |
|    fps                  | 1162         |
|    iterations           | 10           |
|    time_elapsed         | 8            |
|    total_timesteps      | 60840        |
| train/                  |              |
|    approx_kl            | 0.0058358884 |
|    clip_fraction        | 0.0249       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.234        |
|    learning_rate        | 1e-05        |
|    loss                 | 115          |
|    n_updates            | 580          |
|    policy_gradient_loss | -0.0157      |
|    std                  | 1.17         |
|    value_loss           | 178          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 172          |
|    ep_rew_mean          | 202          |
|    success_rate         | 0.21         |
| time/                   |              |
|    fps                  | 1159         |
|    iterations           | 11           |
|    time_elapsed         | 9            |
|    total_timesteps      | 61864        |
| train/                  |              |
|    approx_kl            | 0.0055630105 |
|    clip_fraction        | 0.0422       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.345        |
|    learning_rate        | 1e-05        |
|    loss                 | 84.3         |
|    n_updates            | 590          |
|    policy_gradient_loss | -0.0162      |
|    std                  | 1.17         |
|    value_loss           | 151          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 163          |
