---------------------------------
| rollout/           |          |
|    ep_len_mean     | 222      |
|    ep_rew_mean     | 293      |
|    success_rate    | 0.25     |
| time/              |          |
|    fps             | 1415     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 1024     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 196          |
|    ep_rew_mean          | 255          |
|    success_rate         | 0.2          |
| time/                   |              |
|    fps                  | 1238         |
|    iterations           | 2            |
|    time_elapsed         | 1            |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0049270997 |
|    clip_fraction        | 0.0251       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.172        |
|    learning_rate        | 1e-05        |
|    loss                 | 406          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0142      |
|    std                  | 1.17         |
|    value_loss           | 801          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 179          |
|    ep_rew_mean          | 235          |
|    success_rate         | 0.176        |
| time/                   |              |
|    fps                  | 1209         |
|    iterations           | 3            |
|    time_elapsed         | 2            |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0037964901 |
|    clip_fraction        | 0.0121       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | -0.351       |
|    learning_rate        | 1e-05        |
|    loss                 | 490          |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0123      |
|    std                  | 1.17         |
|    value_loss           | 941          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 190          |
|    ep_rew_mean          | 246          |
|    success_rate         | 0.238        |
| time/                   |              |
|    fps                  | 1190         |
|    iterations           | 4            |
|    time_elapsed         | 3            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0040118443 |
|    clip_fraction        | 0.0173       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | -0.99        |
|    learning_rate        | 1e-05        |
|    loss                 | 470          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0103      |
|    std                  | 1.17         |
|    value_loss           | 983          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 186          |
|    ep_rew_mean          | 237          |
|    success_rate         | 0.231        |
| time/                   |              |
|    fps                  | 1182         |
|    iterations           | 5            |
|    time_elapsed         | 4            |
|    total_timesteps      | 5120         |
| train/                  |              |
|    approx_kl            | 0.0055243103 |
|    clip_fraction        | 0.036        |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.244        |
|    learning_rate        | 1e-05        |
|    loss                 | 337          |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0119      |
|    std                  | 1.17         |
|    value_loss           | 719          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 193          |
|    ep_rew_mean          | 246          |
|    success_rate         | 0.258        |
| time/                   |              |
|    fps                  | 1176         |
|    iterations           | 6            |
|    time_elapsed         | 5            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0061206575 |
|    clip_fraction        | 0.0516       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.085        |
|    learning_rate        | 1e-05        |
|    loss                 | 336          |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.0141      |
|    std                  | 1.17         |
|    value_loss           | 704          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 186          |
|    ep_rew_mean          | 244          |
|    success_rate         | 0.211        |
| time/                   |              |
|    fps                  | 1173         |
|    iterations           | 7            |
|    time_elapsed         | 6            |
|    total_timesteps      | 7168         |
| train/                  |              |
|    approx_kl            | 0.0027794929 |
|    clip_fraction        | 0.0107       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.231        |
|    learning_rate        | 1e-05        |
|    loss                 | 403          |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00758     |
|    std                  | 1.17         |
|    value_loss           | 806          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 175          |
|    ep_rew_mean          | 229          |
|    success_rate         | 0.174        |
| time/                   |              |
|    fps                  | 1168         |
|    iterations           | 8            |
|    time_elapsed         | 7            |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0029745991 |
|    clip_fraction        | 0.00811      |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.0259       |
|    learning_rate        | 1e-05        |
|    loss                 | 410          |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00781     |
|    std                  | 1.17         |
|    value_loss           | 875          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 169         |
|    ep_rew_mean          | 224         |
|    success_rate         | 0.167       |
| time/                   |             |
|    fps                  | 1163        |
|    iterations           | 9           |
|    time_elapsed         | 7           |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.002733755 |
|    clip_fraction        | 0.00586     |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.284       |
|    learning_rate        | 1e-05       |
|    loss                 | 294         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00887    |
|    std                  | 1.17        |
|    value_loss           | 676         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 170         |
|    ep_rew_mean          | 229         |
|    success_rate         | 0.183       |
| time/                   |             |
|    fps                  | 1161        |
|    iterations           | 10          |
|    time_elapsed         | 8           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.004478487 |
|    clip_fraction        | 0.016       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.352       |
|    learning_rate        | 1e-05       |
|    loss                 | 297         |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00984    |
|    std                  | 1.17        |
|    value_loss           | 704         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 166          |
|    ep_rew_mean          | 225          |
|    success_rate         | 0.164        |
| time/                   |              |
|    fps                  | 1160         |
|    iterations           | 11           |
|    time_elapsed         | 9            |
|    total_timesteps      | 11264        |
