Logging to checkpoints/stage0/tb/PPO_1
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 287       |
|    ep_rew_mean     | -1.46e+03 |
|    success_rate    | 0.83      |
| time/              |           |
|    fps             | 1406      |
|    iterations      | 1         |
|    time_elapsed    | 0         |
|    total_timesteps | 277504    |
----------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 287          |
|    ep_rew_mean          | -1.53e+03    |
|    success_rate         | 0.83         |
| time/                   |              |
|    fps                  | 1323         |
|    iterations           | 2            |
|    time_elapsed         | 1            |
|    total_timesteps      | 278528       |
| train/                  |              |
|    approx_kl            | 9.789364e-07 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.197        |
|    learning_rate        | 1e-05        |
|    loss                 | 7.93e+03     |
|    n_updates            | 2710         |
|    policy_gradient_loss | -0.000129    |
|    std                  | 1.17         |
|    value_loss           | 1.62e+04     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 287           |
|    ep_rew_mean          | -1.59e+03     |
|    success_rate         | 0.83          |
| time/                   |               |
|    fps                  | 1311          |
|    iterations           | 3             |
|    time_elapsed         | 2             |
|    total_timesteps      | 279552        |
| train/                  |               |
|    approx_kl            | 6.2970794e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.252         |
|    learning_rate        | 1e-05         |
|    loss                 | 7.11e+03      |
|    n_updates            | 2720          |
|    policy_gradient_loss | -0.000143     |
|    std                  | 1.17          |
|    value_loss           | 1.52e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 284           |
|    ep_rew_mean          | -1.58e+03     |
|    success_rate         | 0.82          |
| time/                   |               |
|    fps                  | 1274          |
|    iterations           | 4             |
|    time_elapsed         | 3             |
|    total_timesteps      | 280576        |
| train/                  |               |
|    approx_kl            | 1.1486583e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.183         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.08e+04      |
|    n_updates            | 2730          |
|    policy_gradient_loss | -0.000162     |
|    std                  | 1.17          |
|    value_loss           | 1.7e+04       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 278           |
|    ep_rew_mean          | -1.58e+03     |
|    success_rate         | 0.78          |
| time/                   |               |
|    fps                  | 1275          |
|    iterations           | 5             |
|    time_elapsed         | 4             |
|    total_timesteps      | 281600        |
| train/                  |               |
|    approx_kl            | 1.6098493e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.189         |
|    learning_rate        | 1e-05         |
|    loss                 | 7.86e+03      |
|    n_updates            | 2740          |
|    policy_gradient_loss | -0.000172     |
|    std                  | 1.17          |
|    value_loss           | 1.78e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 277           |
|    ep_rew_mean          | -1.59e+03     |
|    success_rate         | 0.75          |
| time/                   |               |
|    fps                  | 1271          |
|    iterations           | 6             |
|    time_elapsed         | 4             |
|    total_timesteps      | 282624        |
| train/                  |               |
|    approx_kl            | 5.1747193e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.245         |
|    learning_rate        | 1e-05         |
|    loss                 | 9.13e+03      |
|    n_updates            | 2750          |
|    policy_gradient_loss | -0.000164     |
|    std                  | 1.17          |
|    value_loss           | 1.83e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 277           |
|    ep_rew_mean          | -1.58e+03     |
|    success_rate         | 0.74          |
| time/                   |               |
|    fps                  | 1265          |
|    iterations           | 7             |
|    time_elapsed         | 5             |
|    total_timesteps      | 283648        |
| train/                  |               |
|    approx_kl            | 2.4049077e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.236         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.06e+04      |
|    n_updates            | 2760          |
|    policy_gradient_loss | -0.000129     |
|    std                  | 1.17          |
|    value_loss           | 2.45e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 275           |
|    ep_rew_mean          | -1.58e+03     |
|    success_rate         | 0.72          |
| time/                   |               |
|    fps                  | 1268          |
|    iterations           | 8             |
|    time_elapsed         | 6             |
|    total_timesteps      | 284672        |
| train/                  |               |
|    approx_kl            | 1.1725177e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.246         |
|    learning_rate        | 1e-05         |
|    loss                 | 6.07e+03      |
|    n_updates            | 2770          |
|    policy_gradient_loss | -0.000238     |
|    std                  | 1.17          |
|    value_loss           | 1.23e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 273           |
|    ep_rew_mean          | -1.58e+03     |
|    success_rate         | 0.71          |
| time/                   |               |
|    fps                  | 1268          |
|    iterations           | 9             |
|    time_elapsed         | 7             |
|    total_timesteps      | 285696        |
| train/                  |               |
|    approx_kl            | 1.7837156e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.248         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.34e+04      |
|    n_updates            | 2780          |
|    policy_gradient_loss | -0.000188     |
|    std                  | 1.17          |
|    value_loss           | 3.34e+04      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 263          |
|    ep_rew_mean          | -1.59e+03    |
|    success_rate         | 0.66         |
| time/                   |              |
|    fps                  | 1270         |
|    iterations           | 10           |
|    time_elapsed         | 8            |
